"№","предмет выдачи","число ссуд","на сумму (руб)","более подробные сведения, на какие именно предметы выданы ссуды"
1,"покупка земли в полную собственность",,,
2,"Постройка, покупка, оборудование и ремонт предприятий сельско-хозяйственных и промышленных (мельниц, маслобоен, кузниц, амбаров, сараев и т.п.)",4,100р.,"на ремонт сараев"
3,"постройки для жилья, покупка их или ремонт",10,400р.,"2 с. на постройку и 2 с. - на ремонт жилищ"
4,"Улучшение угодий (покупка удобрений, искусственное орошение, осушение, корчевание и т.п.) устройство плотин, прудов, садов, огородов",,,
5,"покупка и почин орудиц для сельского хозяйтсва (машин и проч.)",,,
6,"покупка и починка орудий ремесленного, кустарного и других промыслов (слесарные, столярные инструменты, приборы и проч.)",,,
7,"покупка рабочего скота, всяких домашних животных (лошади, волы, ослы, верблюды, коровы, овцы т и.п.), домашней птицы, пчел и т.п.",5,100р.,"на нетель и овец"
8,"аренда (земли и други угодий, мельницы, промышленного заведения)",,,
9,"покупка семян для посева",13,258р.,
10,"покупка материалов ремесленного, кустарного и других промыслов (сталь, железо, медь, дерево, сукно, кожа, шерсть, краски и т.п.)",3,50р.,"на кожу"
11,"наем машин и рабочей силы (рабочих, рабочего скота, электрической и другой энергии), покупка горючего материала (дров, уголь и т.п.)",18,275р.,"на наем рабочих"
12,"Покупка разного рода товаров для продажи",,,
13,"покупка корма для скота (ове, сено, отруби и т.п.)",10,200р.,
14,"снаряжение в отхожие промыслы",,,
15,"уплата частных долгов",1,27р.,
16,"переписка выданных товаищеских обязательств  на новые сроки или на новых условиях",,,
17,"разные личные расходы заемщика и его семьи (продовольствие, отопление, уплата повинностей, свадьбы, похороны, лечение, воспитание детей, наряды, довольствия, мебель, книги и т.п.)",10,180р.,"на хлеб"
18,"ссуды под залог произведений сельского хозяйства и промыслов",,,
19,"ссуды под залог ремесленныз и кустарных произведений",,,
"ИТОГО",,74,1590,
